date,code,week,month,customer,sales,kg
29-Sep-22,NA 0,M9W40,9,ardi,akbar,50
30-Sep-22,NA 0,M9W40,9,ardi,akbar,53.82
1-Oct-22,NA 0,M10W40,10,ardi,akbar,57.64
2-Oct-22,NA 0,M10W41,10,ardi,akbar,61.46
3-Oct-22,NA 0,M10W41,10,ardi,akbar,65.28
4-Oct-22,NA 0,M10W41,10,ardi,akbar,69.1
5-Oct-22,NA 0,M10W41,10,ardi,akbar,72.92
6-Oct-22,NA 1,M10W41,10,ardi,akbar,76.74
7-Oct-22,NA 1,M10W41,10,ardi,akbar,80.56
8-Oct-22,NA 1,M10W41,10,ardi,akbar,84.38
9-Oct-22,NA 1,M10W42,10,ardi,akbar,88.2
10-Oct-22,NA 1,M10W42,10,ardi,akbar,99.7815
11-Oct-22,NA 1,M10W42,10,ardi,akbar,111.321
12-Oct-22,NA 1,M10W42,10,ardi,akbar,122.8185
13-Oct-22,NA 1,M10W42,10,ardi,akbar,134.274
14-Oct-22,NA 1,M10W42,10,ardi,akbar,143.375
15-Oct-22,NA 1,M10W42,10,ardi,akbar,154.566
16-Oct-22,NA 1,M10W43,10,ardi,akbar,165.7156667
17-Oct-22,NA 1,M10W43,10,ardi,akbar,176.824
18-Oct-22,NA 1,M10W43,10,ardi,akbar,187.891
19-Oct-22,NA 2,M10W43,10,ardi,akbar,201.19
20-Oct-22,NA 2,M10W43,10,ardi,akbar,214.4394
21-Oct-22,NA 2,M10W43,10,ardi,akbar,223.9676
22-Oct-22,NA 2,M10W43,10,ardi,akbar,236.9057
23-Oct-22,NA 2,M10W44,10,ardi,akbar,249.795
24-Oct-22,NA 2,M10W44,10,ardi,akbar,265.96
25-Oct-22,NA 2,M10W44,10,ardi,akbar,282.064
26-Oct-22,NA 2,M10W44,10,ardi,akbar,298.107
27-Oct-22,NA 2,M10W44,10,ardi,akbar,314.089
28-Oct-22,NA 2,M10W44,10,ardi,akbar,324
29-Oct-22,NA 3,M10W44,10,ardi,akbar,339.4624
30-Oct-22,NA 3,M10W45,10,ardi,akbar,354.1712
31-Oct-22,NA 3,M10W45,10,ardi,akbar,368.1288
1-Nov-22,NA 3,M11W45,11,ardi,akbar,381.3376
2-Nov-22,NA 3,M11W45,11,ardi,akbar,393.8
3-Nov-22,NA 3,M11W45,11,ardi,akbar,405.5184
4-Nov-22,NA 3,M11W45,11,ardi,akbar,416.4952
5-Nov-22,NA 3,M11W45,11,ardi,akbar,426.7328
6-Nov-22,NA 3,M11W46,11,ardi,akbar,436.2336
7-Nov-22,NA 3,M11W46,11,ardi,akbar,445
8-Nov-22,NA 3S,M11W46,11,ardi,akbar,459.724125
9-Nov-22,NA 3S,M11W46,11,ardi,akbar,473.748
10-Nov-22,NA 3S,M11W46,11,ardi,akbar,487.073875
11-Nov-22,NA 3S,M11W46,11,ardi,akbar,499.704
12-Nov-22,NA 3S,M11W46,11,ardi,akbar,511.640625
13-Nov-22,NA 3S,M11W47,11,ardi,akbar,522.886
14-Nov-22,NA 3S,M11W47,11,ardi,akbar,533.442375
