date,code,week,month,customer,sales,kg
20-Sep-22,NA 0,39,9,fallah,probo,15
21-Sep-22,NA 0,39,9,fallah,probo,16.146
22-Sep-22,NA 0,39,9,fallah,probo,17.292
23-Sep-22,NA 0,39,9,fallah,probo,18.438
24-Sep-22,NA 0,39,9,fallah,probo,19.584
25-Sep-22,NA 0,40,9,fallah,probo,20.73
26-Sep-22,NA 0,40,9,fallah,probo,21.876
27-Sep-22,NA 1,40,9,fallah,probo,23.022
28-Sep-22,NA 1,40,9,fallah,probo,24.168
29-Sep-22,NA 1,40,9,fallah,probo,25.314
30-Sep-22,NA 1,40,9,fallah,probo,26.46
1-Oct-22,NA 1,40,10,fallah,probo,29.93445
2-Oct-22,NA 1,41,10,fallah,probo,33.3963
3-Oct-22,NA 1,41,10,fallah,probo,36.84555
4-Oct-22,NA 1,41,10,fallah,probo,40.2822
5-Oct-22,NA 1,41,10,fallah,probo,43.0125
6-Oct-22,NA 1,41,10,fallah,probo,46.3698
7-Oct-22,NA 1,41,10,fallah,probo,49.7147
8-Oct-22,NA 1,41,10,fallah,probo,53.0472
9-Oct-22,NA 1,42,10,fallah,probo,56.3673
10-Oct-22,NA 2,42,10,fallah,probo,60.357
11-Oct-22,NA 2,42,10,fallah,probo,64.33182
12-Oct-22,NA 2,42,10,fallah,probo,67.19028
13-Oct-22,NA 2,42,10,fallah,probo,71.07171
14-Oct-22,NA 2,42,10,fallah,probo,74.9385
15-Oct-22,NA 2,42,10,fallah,probo,79.788
16-Oct-22,NA 2,43,10,fallah,probo,84.6192
17-Oct-22,NA 2,43,10,fallah,probo,89.4321
18-Oct-22,NA 2,43,10,fallah,probo,94.2267
19-Oct-22,NA 2,43,10,fallah,probo,97.2
20-Oct-22,NA 3,43,10,fallah,probo,101.83872
21-Oct-22,NA 3,43,10,fallah,probo,106.25136
22-Oct-22,NA 3,43,10,fallah,probo,110.43864
23-Oct-22,NA 3,44,10,fallah,probo,114.40128
24-Oct-22,NA 3,44,10,fallah,probo,118.14
25-Oct-22,NA 3,44,10,fallah,probo,121.65552
26-Oct-22,NA 3,44,10,fallah,probo,124.94856
27-Oct-22,NA 3,44,10,fallah,probo,128.01984
28-Oct-22,NA 3,44,10,fallah,probo,130.87008
29-Oct-22,NA 3,44,10,fallah,probo,133.5
30-Oct-22,NA 3S,45,10,fallah,probo,137.9172375
31-Oct-22,NA 3S,45,10,fallah,probo,142.1244
1-Nov-22,NA 3S,45,11,fallah,probo,146.1221625
2-Nov-22,NA 3S,45,11,fallah,probo,149.9112
3-Nov-22,NA 3S,45,11,fallah,probo,153.4921875
4-Nov-22,NA 3S,45,11,fallah,probo,156.8658
5-Nov-22,NA 3S,45,11,fallah,probo,160.0327125
6-Nov-22,NA 3S,46,11,fallah,probo,162.9936
7-Nov-22,NA 3S,46,11,fallah,probo,165.7491375
8-Nov-22,NA 3S,46,11,fallah,probo,168.3
9-Nov-22,NA 3S,46,11,fallah,probo,172.77624
10-Nov-22,NA 3S,46,11,fallah,probo,177.08382
11-Nov-22,NA 3S,46,11,fallah,probo,181.22328
12-Nov-22,NA 3S,46,11,fallah,probo,185.19516
13-Nov-22,NA 3S,47,11,fallah,probo,189
14-Nov-22,NA 3S,47,11,fallah,probo,192.63834
15-Nov-22,NA 3S,47,11,fallah,probo,196.11072
16-Nov-22,NA 3S,47,11,fallah,probo,199.41768
17-Nov-22,NA 3S,47,11,fallah,probo,202.55976
18-Nov-22,NA 3S,47,11,fallah,probo,205.5375
19-Nov-22,NA 3S,47,11,fallah,probo,209.962256
20-Nov-22,NA 3S,48,11,fallah,probo,214.234048
21-Nov-22,NA 3S,48,11,fallah,probo,218.353212
22-Nov-22,NA 3S,48,11,fallah,probo,222.320084
23-Nov-22,NA 3S,48,11,fallah,probo,226.135
24-Nov-22,NA 3S,48,11,fallah,probo,229.798296
25-Nov-22,NA 3S,48,11,fallah,probo,233.310308
26-Nov-22,NA 3S,48,11,fallah,probo,236.671372
27-Nov-22,NA 3S,49,11,fallah,probo,239.881824
28-Nov-22,NA 3S,49,11,fallah,probo,242.942
29-Nov-22,NA 3M,49,11,fallah,probo,246.96637
30-Nov-22,NA 3M,49,11,fallah,probo,250.89372
1-Dec-22,NA 3M,49,12,fallah,probo,254.72426
2-Dec-22,NA 3M,49,12,fallah,probo,258.4582
3-Dec-22,NA 3M,49,12,fallah,probo,262.09575
4-Dec-22,NA 3M,50,12,fallah,probo,265.63712
5-Dec-22,NA 3M,50,12,fallah,probo,269.08252
6-Dec-22,NA 3M,50,12,fallah,probo,272.43216
7-Dec-22,NA 3M,50,12,fallah,probo,275.68625
8-Dec-22,NA 3M,50,12,fallah,probo,278.845
9-Dec-22,NA 3M,50,12,fallah,probo,282.367008
10-Dec-22,NA 3M,50,12,fallah,probo,285.811344
11-Dec-22,NA 3M,51,12,fallah,probo,289.178176
12-Dec-22,NA 3M,51,12,fallah,probo,292.467672
13-Dec-22,NA 3M,51,12,fallah,probo,295.68
14-Dec-22,NA 3M,51,12,fallah,probo,298.815328
15-Dec-22,NA 3M,51,12,fallah,probo,301.873824
16-Dec-22,NA 3M,51,12,fallah,probo,304.855656
17-Dec-22,NA 3M,51,12,fallah,probo,307.760992
18-Dec-22,NA 3M,52,12,fallah,probo,310.59
19-Dec-22,NA 3M,52,12,fallah,probo,314.076672
20-Dec-22,NA 3M,52,12,fallah,probo,317.476016
21-Dec-22,NA 3M,52,12,fallah,probo,320.788224
22-Dec-22,NA 3M,52,12,fallah,probo,324.013488
23-Dec-22,NA 3M,52,12,fallah,probo,327.152
24-Dec-22,NA 3M,52,12,fallah,probo,330.203952
25-Dec-22,NA 3M,53,12,fallah,probo,333.169536
26-Dec-22,NA 3M,53,12,fallah,probo,336.048944
27-Dec-22,NA 3M,53,12,fallah,probo,338.842368
28-Dec-22,NA 3M,53,12,fallah,probo,341.55
30-Sep-22,NA 0,40,9,feri,probo,4.9945625
1-Oct-22,NA 0,40,10,feri,probo,5.376147075
2-Oct-22,NA 0,41,10,feri,probo,5.75773165
3-Oct-22,NA 0,41,10,feri,probo,6.139316225
4-Oct-22,NA 0,41,10,feri,probo,6.5209008
5-Oct-22,NA 0,41,10,feri,probo,6.902485375
6-Oct-22,NA 0,41,10,feri,probo,7.28406995
7-Oct-22,NA 1,41,10,feri,probo,7.665654525
8-Oct-22,NA 1,41,10,feri,probo,8.0472391
9-Oct-22,NA 1,42,10,feri,probo,8.428823675
10-Oct-22,NA 1,42,10,feri,probo,8.81040825
11-Oct-22,NA 1,42,10,feri,probo,9.967298762
12-Oct-22,NA 1,42,10,feri,probo,11.11999384
13-Oct-22,NA 1,42,10,feri,probo,12.26849349
14-Oct-22,NA 1,42,10,feri,probo,13.4127977
15-Oct-22,NA 1,42,10,feri,probo,14.32190797
